Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
03/11/2004,08:00:00 AM,2,1333.25,64,8.01377298709062,899.75,174,1136,112,1517,1101.5,10.75,57.425000190735,0.740794575739977
03/11/2004,09:00:00 AM,2.2,1351,87,9.54064292532022,960.25,129,1079,101,1582.75,1027.75,10.5,60.599998474121,0.769110792757908
03/11/2004,10:00:00 AM,1.7,1233.25,77,6.33578243722282,827.25,112,1218,98,1445.75,859.75,10.799999952316,58.35000038147,0.755183082652291
03/11/2004,11:00:00 AM,1.5,1178.75,43,4.97158376146257,762,95,1327.5,92,1361.75,670.5,10.499999761581,57.925000190735,0.735160779631515
03/11/2004,12:00:00 PM,1.6,1236,61,5.21691899988497,774.25,104,1301.25,95,1401.25,664,9.5249998569489,66.774998664856,0.795053788514204
03/11/2004,01:00:00 PM,1.9,1285.5,63,7.26993335753569,868.5,146,1162.25,112,1536.75,799,8.299999833107,76.425001144409,0.839268067750277
03/11/2004,02:00:00 PM,2.9,1371,164,11.5390072135637,1033.5,207,983.25,128,1730.25,1036.5,8,81.14999961853,0.873588533618542
03/11/2004,03:00:00 PM,2.2,1310,79,8.82622272645721,932.5,184,1081.75,126,1646.5,946.25,8.325000166893,79.799999237061,0.877784445098044
03/11/2004,04:00:00 PM,2.2,1291.75,95,8.30141341676182,911.5,193,1102.5,131,1590.75,956.75,9.7000000476837,71.150001525879,0.856938127943632
03/11/2004,05:00:00 PM,2.9,1383,150,11.1515812161294,1019.75,243,1008,135,1718.75,1104,9.7750000953674,67.624998092651,0.818501207475343
03/11/2004,06:00:00 PM,4.8,1580.75,307,20.7992168614605,1318.5,281,798.5,151,2083,1408.5,10.349999904633,64.174999237061,0.806543633173666
03/11/2004,07:00:00 PM,6.9,1775.5,461,27.3598074935868,1487.75,383,702.25,172,2332.5,1704,9.6500000953674,69.300001144409,0.831921144410088
03/11/2004,08:00:00 PM,6.1,1640,401,24.0177569359492,1404,351,742.75,165,2191.25,1653.75,9.6499998569489,67.75,0.813313935362591
03/11/2004,09:00:00 PM,3.9,1312.75,197,12.7793682487582,1076.25,240,957.25,136,1706.5,1284.75,9.125,63.974999427795,0.741924224489251
03/11/2004,10:00:00 PM,1.5,964.5,61,4.70707191924476,748.5,94,1325.25,85,1332.5,821,8.1750001907349,63.39999961853,0.69048444664144
03/11/2004,11:00:00 PM,1,912.75,26,2.64572150961059,629.25,47,1564.5,53,1252.25,551.75,8.2499998807907,60.824998855591,0.66574436040631
03/12/2004,12:00:00 AM,1.7,1080.25,55,5.85480151426304,805,122,1253.5,97,1375,815.5,8.3250002861023,58.525000572205,0.643763609633057
03/12/2004,01:00:00 AM,1.9,1043.75,53,6.37429750967153,829,133,1247.25,110,1378.25,831.5,7.7250001430511,59.674999237061,0.630766060273863
03/12/2004,02:00:00 AM,1.4,987.75,40,4.13234179510347,718,82,1395.5,91,1303.5,691.5,7.125,61.799999237061,0.62759736878688
03/12/2004,03:00:00 AM,0.8,888.75,21,1.86944463513703,574.25,-200,1680.25,-200,1187,512,6.9750000238419,62.27499961853,0.626107527809789
03/12/2004,04:00:00 AM,-200,831,10,1.06829261164185,505.75,21,1892.75,32,1133.75,384,6.1000000238419,65.900001525879,0.624753631972468
03/12/2004,05:00:00 AM,0.6,847.25,7,1.02241459897595,501.25,30,1894.5,44,1154.75,394,6.2749999761581,64.97500038147,0.6232823211023
03/12/2004,06:00:00 AM,0.8,927,17,1.83043122583498,571.25,56,1684.75,71,1222.75,486.5,6.75,62.949999809265,0.623427539214452
03/12/2004,07:00:00 AM,1.4,1090.5,33,4.3593409968645,730.25,109,1387,104,1360.75,748.25,6.4499999284744,65.075001716614,0.631628114438954
03/12/2004,08:00:00 AM,4.4,1587,202,17.8655867048338,1235.5,307,896.5,141,1900.25,1400.25,7.3250000476837,63.14999961853,0.649933139307388
03/12/2004,09:00:00 AM,-200,1544.5,-200,22.0741620632236,1353,-200,767.25,-200,2058,1587.75,9.2250000238419,56.199998855591,0.656065118917194
03/12/2004,10:00:00 AM,3.1,1350.25,208,14.0270113667516,1117.5,187,912,122,1711.75,1237,13.224999904633,41.749999046326,0.631950130993723
03/12/2004,11:00:00 AM,2.7,1262.75,166,11.6456465597041,1037.25,216,969,143,1598.25,1166.5,14.325000047684,38.449999809265,0.62430429421539
03/12/2004,12:00:00 PM,2.1,1206.25,114,10.2246621439528,986,143,1034.5,113,1537,959,15.025000095367,36.5,0.619532322605736
03/12/2004,01:00:00 PM,2.5,1251.5,140,11.0399360393008,1015.75,160,1007.5,116,1592.75,983,16.100000143051,34.474999427795,0.62616474015668
03/12/2004,02:00:00 PM,2.7,1287,169,12.8164461964156,1077.5,163,948.75,123,1660.25,1060.75,16.275000572205,35.72500038147,0.656030611962757
03/12/2004,03:00:00 PM,2.9,1352.75,185,14.1738511779101,1122.25,190,921.75,126,1740,1139.25,15.825000047684,37.02499961853,0.660961139503487
03/12/2004,04:00:00 PM,2.8,1309,165,12.6905681033727,1073.25,178,954,120,1657.25,1112.25,15.874999761581,37.175000190735,0.6657285250912
03/12/2004,05:00:00 PM,2.4,1274,133,11.7384054162647,1040.5,150,1005.75,119,1609.75,993.75,16.875000238419,34.349999427795,0.654908514327072
03/12/2004,06:00:00 PM,3.9,1509.5,233,19.290974886273,1276.5,206,812.25,149,1909.75,1409.5,15.149999856949,39.550000190735,0.676626507808505
03/12/2004,07:00:00 PM,3.7,1525.25,242,18.2261782916974,1246,202,821,145,1846.75,1447.75,14.399999856949,43.425000190735,0.708449759817737
03/12/2004,08:00:00 PM,6.6,1843,488,32.5562783470705,1609.75,340,624,170,2390.25,1886.5,12.875,50.525000572205,0.747803218850897
03/12/2004,09:00:00 PM,4.4,1597.75,333,20.0929435644942,1299,274,752,149,1940.5,1626.75,12.149999856949,53.349999427795,0.75362022278253
03/12/2004,10:00:00 PM,3.5,1483.5,215,14.3213424226295,1127,253,839,139,1723,1491,10.975000143051,59.125000953674,0.773980003386285
03/12/2004,11:00:00 PM,5.4,1677.25,367,21.8128650694319,1346,300,740.5,134,2062,1657,9.6749999523163,64.624999046326,0.777073942547362
03/13/2004,12:00:00 AM,2.7,1279.5,122,9.63899981451842,964,193,962.5,113,1543.5,1285.25,9.4500002861023,64.125,0.759746528235943
03/13/2004,01:00:00 AM,1.9,1196.25,67,7.3751394675463,873,139,1071.25,97,1463.25,1144.25,9.1499998569489,63.900001525879,0.742276412922536
03/13/2004,02:00:00 AM,1.6,1183.75,43,5.36960416968744,781.75,83,1176.25,82,1364.5,1042.75,8.7999999523163,63.924998283386,0.725615371264939
03/13/2004,03:00:00 AM,1.7,1171.75,46,5.3901039395437,782.75,-200,1178.5,-200,1379.75,995.5,7.8000000715256,67.52499961853,0.7173121148941
03/13/2004,04:00:00 AM,-200,1147,56,6.19904196329595,821,109,1132.25,83,1411.75,991.5,7,71.075000762939,0.715778469303664
03/13/2004,05:00:00 AM,1,978.25,30,2.57793219937785,624.75,62,1420.25,65,1274.25,819.25,8.2999999523163,63.574999809265,0.698154620475691
03/13/2004,06:00:00 AM,1.2,1099.5,27,2.90854800942283,646.25,53,1406.25,60,1267.5,835,7.2000000476837,67.47500038147,0.688672147083888
03/13/2004,07:00:00 AM,1.5,1112.25,47,5.13625582872442,770.25,139,1228,77,1408.5,939.75,6.3499999046326,71.89999961853,0.693198558734372
03/13/2004,08:00:00 AM,2.7,1335.5,132,11.8171386009924,1043.25,256,935.25,96,1678,1191.75,6.450000166893,71.550001144409,0.694475479717602
03/13/2004,09:00:00 AM,3.7,1408.3333333333,239,15.1401611984076,1153,295,830.33333333333,119,1776.6666666667,1411,9.5666666030884,59.666667938232,0.712366561199275
03/13/2004,10:00:00 AM,3.2,1447,160,12.9130630959072,1080.75,250,868.5,126,1666.75,1465,12.375,51.175000190735,0.733458385064077
03/13/2004,11:00:00 AM,4.1,1541.5,283,16.133508844949,1183.75,296,808.25,158,1779.75,1582.5,15.649999856949,42.199999809265,0.745093757777433
03/13/2004,12:00:00 PM,3.6,1451.25,210,14.019301019815,1117.25,239,875.25,161,1679.25,1387.25,18.400000095367,33.824999809265,0.708963570176462
03/13/2004,01:00:00 PM,2.8,1328.25,154,12.2796640772005,1059.25,153,986.5,124,1599.5,1100.5,19.35000038147,31.275000095367,0.69500810475274
03/13/2004,02:00:00 PM,2,1206.5,112,8.61841257653228,924.25,118,1087.75,102,1488.25,849.75,18.02499961853,34.800000190735,0.712673874194492
03/13/2004,03:00:00 PM,2,1239.5,108,9.19656674023842,947,119,1049,116,1531.75,947,18.375,33.64999961853,0.704207020809635
03/13/2004,04:00:00 PM,2.5,1306,111,10.2448870843445,986.75,138,1004,124,1554,1078,17.625,35.10000038147,0.701203250936439
03/13/2004,05:00:00 PM,2.3,1326,97,10.6118444604737,1000.25,148,975.5,125,1601.5,1083.75,16.675000190735,37.799999237061,0.711736403843591
03/13/2004,06:00:00 PM,3.2,1472.75,191,15.4522099649153,1162.75,227,830.5,148,1779,1394.75,16.099999904633,41.02499961853,0.745131494358541
03/13/2004,07:00:00 PM,4.2,1609,258,19.6367846639173,1286.25,277,757.5,165,1922,1611.5,15.825000047684,42.400000572205,0.756914327667609
03/13/2004,08:00:00 PM,4.2,1610.75,284,19.2027279161836,1274,279,754.25,161,1915,1697.25,15.650000095367,44.10000038147,0.778640655070786
03/13/2004,09:00:00 PM,4.2,1620.5,269,18.2693103571497,1247.25,283,762,159,1860,1885.5,15.325000047684,46.775000572205,0.809124428576824
03/13/2004,10:00:00 PM,3.1,1444.25,180,13.1447043018938,1088.5,214,844,143,1747.5,1623.75,14.649999856949,48.625,0.805969414107229
03/13/2004,11:00:00 PM,2.6,1418,116,10.8733671544159,1009.75,172,892,130,1603,1536.25,14.700000286102,49.275000572205,0.819336124419836
03/14/2004,12:00:00 AM,2.9,1533.5,93,10.9634579591418,1013,190,888.5,129,1610.75,1534.75,13.949999809265,53.60000038147,0.849771720433188
03/14/2004,01:00:00 AM,2.8,1483.5,131,11.8601785184833,1044.75,174,879.75,119,1624.25,1529.75,14.649999856949,51.5,0.853623132679122
03/14/2004,02:00:00 AM,2.5,1366.75,92,8.62467882305587,924.5,128,952.5,104,1543,1337,12.549999952316,58.900000572205,0.85374007387939
03/14/2004,03:00:00 AM,2.4,1344,132,9.73778645667019,967.75,-200,920.5,-200,1619.75,1278.25,11.649999856949,63.425000190735,0.867449231574494
03/14/2004,04:00:00 AM,-200,1129.5,56,5.19165420320401,773,70,1130.25,82,1451.75,1050.5,12.099999904633,61.100001335144,0.860316213167264
03/14/2004,05:00:00 AM,1.2,1062,32,3.65042314632486,691,53,1271.5,70,1376.75,929,11.475000143051,63.10000038147,0.853275383438132
03/14/2004,06:00:00 AM,1,1075.75,29,2.48134193464027,618.25,44,1395.25,63,1333,872.25,11.599999904633,62.150000572205,0.847263625910026
03/14/2004,07:00:00 AM,0.9,1028.25,27,2.42998440227742,614.75,74,1383.5,67,1340,853,10.399999856949,67.649998664856,0.852998730292664
03/14/2004,08:00:00 AM,1.4,1154.5,36,4.21051013605492,722.25,101,1224.75,84,1413.75,959.25,11.574999809265,62.674999237061,0.853038223008775
03/14/2004,09:00:00 AM,1.6,1235.25,57,6.35227671107466,828,118,1055.25,83,1527,1093.25,12.424999952316,60,0.862715127329646
03/14/2004,10:00:00 AM,2.2,1331.5,129,8.58711047460812,923,144,951.75,98,1613.75,1225,14.525000095367,53.074999809265,0.872781622355281
03/14/2004,11:00:00 AM,2.8,1444.75,148,10.859535166937,1009.25,176,878.25,114,1696,1355.25,16.875000476837,46.099999427795,0.878931094266637
03/14/2004,12:00:00 PM,2.8,1415.5,145,10.659815662689,1002,161,906.75,119,1676.5,1261.5,19.300000190735,38.25,0.847404802141443
03/14/2004,01:00:00 PM,2,1281.25,93,7.5400724561671,880,113,1083.75,104,1525,980,21.174999713898,31.449999809265,0.781195716500223
03/14/2004,02:00:00 PM,1.8,1207.25,84,7.50459879503786,878.5,103,1103.5,102,1489.5,872.25,21.424999713898,30.199999809265,0.761591876762662
03/14/2004,03:00:00 PM,1.9,1257.75,99,8.16011292462577,905.75,112,1081.25,107,1511,900.25,21.925000190735,28.950000286102,0.752458954569446
03/14/2004,04:00:00 PM,3,1457.75,150,11.8673583229011,1045,170,973.75,129,1646,1098.5,22.224999904633,28.39999961853,0.75162732411887
03/14/2004,05:00:00 PM,2.9,1437.75,156,12.0330047450844,1050.75,180,942.5,128,1667.5,1206.25,21.299999713898,30.75,0.769615491914451
03/14/2004,06:00:00 PM,2.5,1477.75,122,12.1633233067485,1055.25,160,929.25,121,1670.75,1262.25,19.650000095367,36.699999809265,0.830706131849699
03/14/2004,07:00:00 PM,4.6,1807.5,262,20.5717148773256,1312.25,261,753.25,157,1992.75,1697.75,18.374999523163,41.72500038147,0.873195770557749
03/14/2004,08:00:00 PM,5.9,1898,341,23.1421258052954,1381.25,325,680.5,173,2102.75,1904.75,17.625,46.099999427795,0.920953536057598
03/14/2004,09:00:00 PM,3.4,1559.5,214,14.720453409836,1139.75,217,783.75,146,1817.5,1648,16.650000095367,49.575000762939,0.931990047324965
03/14/2004,10:00:00 PM,2.1,1324.25,100,9.0041992473233,939.5,146,923.5,121,1587,1422.75,16.25,50.950000762939,0.934147213162256
03/14/2004,11:00:00 PM,2.2,1348.75,79,8.83888507899354,933,152,933,119,1616.5,1348.75,14.725000143051,55.925000190735,0.931385622492128
03/15/2004,12:00:00 AM,1.8,1238.75,66,7.35756037487877,872.25,104,985,99,1546.5,1250.25,14.825000047684,54.675001144409,0.916354325468304
03/15/2004,01:00:00 AM,1.8,1239,73,6.91820721621939,853.25,106,1010.25,93,1543.25,1173.75,14.049999952316,57,0.909448936766347
03/15/2004,02:00:00 AM,1.8,1223.75,66,6.95819119577501,855,108,998.25,88,1565.75,1148.75,13.350000143051,61.349999427795,0.936085703142246
03/15/2004,03:00:00 AM,1.1,1078.25,44,4.42986293048355,734,-200,1128.25,-200,1486.75,1020.5,12.599999904633,63.474999427795,0.923017421899872
03/15/2004,04:00:00 AM,-200,1077.5,44,3.99592429292043,710.5,66,1150,71,1467.5,1012.75,12.349999904633,65.35000038147,0.935112286576449
03/15/2004,05:00:00 AM,1,1074.5,39,3.86591433757495,703.25,88,1155.75,74,1463.75,1010,11.899999856949,67.449998855591,0.937538176934133
03/15/2004,06:00:00 AM,1.4,1156.75,51,6.38532009007916,829.5,138,1029.5,80,1584,1083,11.375,70.52499961853,0.94751622433819
03/15/2004,07:00:00 AM,2.2,1314,107,9.68504680651757,965.75,228,896.75,89,1710.25,1234.75,11.324999809265,70.200000762939,0.940095096018487
03/15/2004,08:00:00 AM,5.5,1796.75,336,25.8704576609989,1451,360,652,114,2323,1679.5,12.400000095367,63.875000953674,0.916954694148268
03/15/2004,09:00:00 AM,8.1,1961.25,618,36.6920625306725,1701,478,536.75,149,2665.25,2184.25,14.774999856949,54.324999809265,0.907609536041862
03/15/2004,10:00:00 AM,5.8,1770.5,438,26.6360247644022,1470,394,621.5,157,2261.5,1973,17.400000095367,45.64999961853,0.899298170646737
03/15/2004,11:00:00 AM,4.2,1563.5,334,20.1109230934355,1299.5,319,709.75,155,2029,1798.25,19.800000190735,38.525000572205,0.880059991386787
03/15/2004,12:00:00 PM,3.1,1430,221,14.0964857998777,1119.75,201,830.5,134,1783.25,1522,22.025000095367,34.050000190735,0.890368518812603
03/15/2004,01:00:00 PM,2.9,1417.25,207,14.9257192296359,1146.25,171,829.5,119,1830.5,1404,23.324999809265,32.174999237061,0.909599219567394
03/15/2004,02:00:00 PM,2.9,1400.25,191,15.4361414715479,1162.25,159,838.25,111,1828.5,1263.25,23.875,29.97500038147,0.875658528812498
03/15/2004,03:00:00 PM,2.5,1317.25,185,12.0908502187765,1052.75,153,926,104,1706.75,1137,24.449999809265,28.900000095367,0.873591912397843
03/15/2004,04:00:00 PM,2.3,1317.75,141,11.524820242424,1033,143,949.75,99,1675,1068,24.375,29.39999961853,0.884761711720098
03/15/2004,05:00:00 PM,2.8,1445.25,214,14.7598334717014,1141,156,856.5,110,1823.5,1251.5,23.849999904633,31.325000762939,0.913735211108514
03/15/2004,06:00:00 PM,6.1,1917,471,32.148843679454,1600.5,314,631.25,162,2447,1843.25,22.549999237061,35.375000953674,0.954699820747348
03/15/2004,07:00:00 PM,8,2039.75,685,39.2023396793109,1754.25,404,542.25,187,2679,2122.25,20.425000667572,42.5,1.00863133410742
03/15/2004,08:00:00 PM,6.5,1894.75,538,30.9613050604526,1573.25,320,565,165,2442.75,1991.5,18.275000095367,52.625000953674,1.09451809331328
03/15/2004,09:00:00 PM,4.2,1594.5,319,19.8956214632544,1293.5,256,678.25,145,2057.5,1707,16.650000095367,57.375,1.07862689142397
03/15/2004,10:00:00 PM,3.2,1438.5,224,15.3158550496017,1158.5,193,764.25,125,1856.25,1494.25,15.699999809265,60.150000572205,1.06537155496259
03/15/2004,11:00:00 PM,1.4,1141.5,67,6.89540334724039,852.25,89,1008.25,101,1547.25,1164.25,15.250000238419,61.449998855591,1.05795549907789
03/16/2004,12:00:00 AM,2.1,1303.6666666667,155,11.1399291687717,1019.3333333333,127,852.33333333333,103,1731.3333333333,1271.6666666667,14.066666603088,65.699999491374,1.04937240309704
03/16/2004,01:00:00 AM,1.2,1074.25,49,5.40550061636386,783.5,79,1097.75,88,1483,1039.75,14.825000047684,60.550001144409,1.01481946583304
03/16/2004,02:00:00 AM,0.8,968,29,2.81068803712354,640,43,1319.5,61,1385.75,866.75,14.75,59.224999427795,0.98790811078165
03/16/2004,03:00:00 AM,0.7,929.25,25,2.32506154714735,607.5,-200,1375.5,-200,1364.25,825.75,13.624999761581,62.050000190735,0.963554995618419
03/16/2004,04:00:00 AM,-200,941,25,2.58917830277434,625.5,59,1315.75,59,1373.25,839.75,12.324999809265,66.150000572205,0.94503619519685
03/16/2004,05:00:00 AM,0.6,937,17,2.00874263451747,584.75,38,1411.5,52,1348,792.5,12.75,63.22500038147,0.928289804021358
03/16/2004,06:00:00 AM,0.9,1017,27,3.48268932511739,681.25,82,1245.75,64,1417.5,869.5,11.174999952316,68.47500038147,0.908107123101593
03/16/2004,07:00:00 AM,1.3,1171.25,50,5.13123218069203,770,99,1161.75,70,1466.75,930,10.975000143051,66.5,0.870522949598188
03/16/2004,08:00:00 AM,3.4,1541,218,16.1744570491836,1185,263,770,97,1888.75,1406.5,11.674999952316,63.650000572205,0.871936587706563
03/16/2004,09:00:00 AM,3.7,1539.25,285,19.6634938563942,1287,229,697.5,95,2054.75,1507,13.625,56.299999237061,0.87426504717691
03/16/2004,10:00:00 AM,5.3,1734.75,437,25.0551503033635,1430.5,396,628.25,150,2211,1843.25,17.824999332428,42.875,0.867225463172316
03/16/2004,11:00:00 AM,4.1,1571,327,20.0031487828612,1296.5,314,730,162,1972.75,1729,21.449999809265,33.324999332428,0.84167129582407
03/16/2004,12:00:00 PM,3.3,1451.75,283,18.3470575765895,1249.5,217,775.5,154,1868.25,1583.25,24.375,27.35000038147,0.82306916554527
03/16/2004,01:00:00 PM,4,1579,366,22.30858297567,1359.25,252,724,161,1997.75,1670.75,25.250000476837,26.075000286102,0.826380755245821
03/16/2004,02:00:00 PM,3.8,1466.25,318,20.4447799792646,1308.75,263,772.5,161,1897,1491.25,25.825000286102,23.150000095367,0.75893696308813
03/16/2004,03:00:00 PM,2.8,1279.75,228,14.6104279603631,1136.25,180,892.75,128,1675.25,1239.75,27,20.200000286102,0.709361513029415
03/16/2004,04:00:00 PM,2.9,1407,201,16.5532543441309,1196.5,184,905.25,129,1758.75,1313,28.249999523163,18.574999809265,0.701385738833639
03/16/2004,05:00:00 PM,2.9,1388.75,199,15.7831830968185,1173,190,898.25,133,1739,1363.25,27.974999904633,19.10000038147,0.709825085363188
03/16/2004,06:00:00 PM,3.4,1447.25,237,17.839947776419,1234.75,184,858.75,139,1778,1295.75,23.900000095367,25.699999809265,0.751891040812467
03/16/2004,07:00:00 PM,3.9,1551,261,19.0970593371571,1271,181,800.25,137,1874.5,1432.25,21.349999904633,34.77499961853,0.872993133385565
03/16/2004,08:00:00 PM,3.2,1473.5,230,15.766968720541,1172.5,166,854.25,143,1776,1431.75,20.425000190735,36.675000190735,0.870389489318189
03/16/2004,09:00:00 PM,5.1,1799.5,349,24.8776718706072,1426,317,700,177,2105.5,2033.5,19.025000095367,41.349999427795,0.9007307308827
03/16/2004,10:00:00 PM,2.6,1379.25,183,13.5296047306945,1101.25,184,817.5,138,1710,1601.75,17.925000190735,45.900000572205,0.934186045021659
03/16/2004,11:00:00 PM,1.7,1200.5,88,9.08734562656723,942.75,130,935,117,1559.75,1361.75,16.700000286102,48.925000190735,0.922649925527229
03/17/2004,12:00:00 AM,1.7,1204.75,85,8.63094701114028,924.75,132,922,107,1546.5,1314.25,15.524999856949,52.925000190735,0.927128229788003
03/17/2004,01:00:00 AM,1.2,1071.5,47,5.41577546769362,784,95,1065.5,90,1441.75,1113.75,15.475000143051,51.875,0.905875280404742
03/17/2004,02:00:00 AM,0.9,997.75,34,4.05025697922261,713.5,70,1169.25,79,1383.25,991.5,14.125,55.575000762939,0.890955805621134
03/17/2004,03:00:00 AM,0.7,933.25,26,2.58167858149119,625,-200,1291.5,-200,1331.5,883.75,13.050000190735,57.900000572205,0.866633008205141
03/17/2004,04:00:00 AM,-200,882.75,17,1.89893459059638,576.5,54,1396,60,1303.25,808.25,12.650000333786,57.900000572205,0.844660352882309
03/17/2004,05:00:00 AM,0.5,868.75,11,1.60682825754362,553.5,28,1459.5,40,1267.75,667,11.824999809265,58.025000572205,0.802631932115946
03/17/2004,06:00:00 AM,0.5,890.75,18,1.89564821439389,576.25,46,1416.5,53,1289.25,733,11.900000095367,57.39999961853,0.797845704087235
03/17/2004,07:00:00 AM,1.6,1172.75,84,7.48688871524111,877.75,160,1038,84,1556.25,1051.75,9.9000000953674,65.199999809265,0.795645557063286
03/17/2004,08:00:00 AM,4.1,1587.25,260,21.3587914677703,1333.75,320,702.25,108,1998.75,1533.5,11.125,60.200000762939,0.795775686798181
03/17/2004,09:00:00 AM,6.6,1851.5,534,36.4484129678467,1695.75,377,552.75,127,2535.25,1931,14.124999761581,50.024998664856,0.801980417428491
03/17/2004,10:00:00 AM,4.3,1521.5,368,21.2666240959474,1331.25,280,702.5,134,2025.75,1733.75,17.699999809265,40.099999427795,0.804829145343837
03/17/2004,11:00:00 AM,2.9,1438.25,200,15.3879787633903,1160.75,221,818.5,135,1781.5,1595,21.10000038147,33.425000190735,0.826486216136783
03/17/2004,12:00:00 PM,2.5,1393.25,145,12.4990742249497,1066.75,210,905,142,1654.25,1489.75,24.300000190735,28.275000572205,0.847127690473709
03/17/2004,01:00:00 PM,2.8,1452,188,15.1083097464741,1152,204,860.5,153,1747,1507.5,25.575000286102,25.550000190735,0.825394882927793
03/17/2004,02:00:00 PM,2.6,1389.25,152,13.7352900540719,1108,161,886.5,123,1711.5,1334,25.85000038147,25.900000095367,0.850339342578589
03/17/2004,03:00:00 PM,2,1207,103,10.4344740653145,993.75,135,1013,104,1519.5,1044.75,26.824999809265,18.699999809265,0.650017745071002
03/17/2004,04:00:00 PM,2.9,1365.25,193,15.1640685521067,1153.75,186,939.5,129,1678.5,1221.25,29.275000095367,15.750000238419,0.630890454462326
03/17/2004,05:00:00 PM,2.5,1247,134,12.3088230185015,1060.25,147,1032,114,1524.75,1068.5,28.5,14.900000095367,0.570801909228313
03/17/2004,06:00:00 PM,5,1556.75,386,26.9510250138981,1477.75,299,793,158,1980.5,1568.5,25.85000038147,15.950000286102,0.523664583300076
03/17/2004,07:00:00 PM,7.6,1972.5,577,38.3932461107534,1737.25,411,616.75,194,2413.75,2305.5,23.125,26.5,0.740260610410356
03/17/2004,08:00:00 PM,6.7,1974.75,523,35.1036312781365,1666.5,347,596.75,182,2415.5,2358.5,20.52499961853,38.249999046326,0.913314176820952
03/17/2004,09:00:00 PM,5.7,1794.75,472,27.2471308265559,1485,336,652.5,180,2174,2050,19.050000190735,42.60000038147,0.929387703869648
03/17/2004,10:00:00 PM,2.8,1443.75,206,15.0446926576102,1150,202,769.5,136,1726.5,1726.5,17.150000095367,44.125000953674,0.855830709685321
03/17/2004,11:00:00 PM,2.6,1488,216,15.7102743679626,1170.75,178,731,127,1777.5,1705,16.025000095367,50.924999237061,0.920598757969973
03/18/2004,12:00:00 AM,2.3,1371.25,159,12.9726733462054,1082.75,154,795.75,116,1668.75,1550.5,14.799999952316,53.924999237061,0.902354487489932
03/18/2004,01:00:00 AM,1.4,1160.75,70,8.12342211987772,904.25,92,946.75,107,1502,1240.25,14.274999856949,55.449999809265,0.897473060910826
03/18/2004,02:00:00 AM,1,1064.25,44,5.47759915934829,787,61,1056.75,88,1407,1115,14.75,52.074999809265,0.868641877206703
03/18/2004,03:00:00 AM,0.7,970.25,42,3.58120245909574,687,-200,1195.5,-200,1350.5,968.5,13.875,53.875,0.850058903133944
03/18/2004,04:00:00 AM,-200,954,28,2.88493145450513,644.75,60,1260.25,78,1334,924.75,11.599999904633,61.924999237061,0.844196281657516
03/18/2004,05:00:00 AM,0.6,930.5,20,2.54804469276258,622.75,37,1293.25,57,1306.5,827.75,12,58.85000038147,0.823302451906193
03/18/2004,06:00:00 AM,0.7,938,26,2.97192629266624,650.25,68,1251.25,71,1332.5,893,10.949999809265,62.074999809265,0.81127656280627
